"V1","V2","V3","V4","V5"
0.896666666666667,0.787576336375974,0.958993787650705,0.921302685790764,0.909937736784354
0.838333333333333,0.663972967354194,0.934735352528735,0.877662957957076,0.864688924799247
0.883333333333333,0.756984937763235,0.960485395934935,0.897475880926585,0.900255689995872
0.891666666666667,0.780718933235168,0.956322931846233,0.889760024795236,0.901365762321996
0.85,0.682729722528738,0.932555766556102,0.8957945714432,0.876633784126612
0.87,0.726012865476779,0.953421014768659,0.905038521292391,0.893573091712563
0.828333333333333,0.622007861124954,0.917564657196734,0.907119381621607,0.867485731947293
0.87,0.732979286130067,0.948856448212954,0.896672758752078,0.888109178108313
0.843333333333333,0.66551897893794,0.919896001504227,0.896420170392773,0.874835817694198
0.83,0.639545957067498,0.927457649963576,0.873826379735192,0.861726118160522
0.856666666666667,0.699768854403876,0.934095832848324,0.880861305186941,0.880416737805638
0.861666666666667,0.704487619701111,0.942753351403642,0.877665798558537,0.889461954597229
0.863333333333333,0.711081640315022,0.939673860486715,0.883114337101177,0.88308165264687
0.86,0.711419034545613,0.930472174759216,0.89436370913654,0.88030594706651
0.868333333333333,0.731178261437543,0.940339584440692,0.8811367503452,0.884160123346539
0.88,0.755090784731015,0.94049783716395,0.879390968499654,0.891574956266936
0.868333333333333,0.720065897503737,0.932915745657851,0.921698862540968,0.893065554258303
0.846666666666667,0.685813878725737,0.921879641566321,0.856533941724682,0.866362338977524
0.876666666666667,0.746559982234444,0.949162682725986,0.876975642416208,0.891535224710665
0.845,0.66008046225797,0.919705849124382,0.890724881982728,0.880002398502398
0.843333333333333,0.680735057134218,0.943166777681018,0.859339552238806,0.86058014706682
0.873333333333333,0.732356235484158,0.953196757123339,0.926958461309579,0.896496855280095
0.861666666666667,0.714388387584722,0.944281693980927,0.885502468545947,0.880011131557732
0.848333333333333,0.689522339590489,0.935757071213293,0.89398942578751,0.86571584048936
0.868333333333333,0.7199681488034,0.942360871406598,0.887593977752206,0.891193603348035
0.883333333333333,0.751920236641918,0.946481790633743,0.907121985463449,0.904124454816316
0.853333333333333,0.702129019614609,0.933616607978742,0.8756788638707,0.867460909999868
0.876666666666667,0.742500800695257,0.935821033149991,0.917859872326973,0.897037405586875
0.871666666666667,0.726658624423947,0.939218643929995,0.905519346227816,0.896929762361673
0.895,0.767240325349772,0.954706452296859,0.934260405916753,0.919615902501351
0.898333333333333,0.793387870908732,0.959666932695532,0.909296548521901,0.907887630500238
0.858333333333333,0.697744367565781,0.938292922623969,0.883100177642431,0.886487283429667
0.868333333333333,0.725320577426405,0.94299324116884,0.901633215104513,0.889995453520595
0.853333333333333,0.696593181646476,0.937789467597986,0.884062562977227,0.874440626862003
0.865,0.712827016689313,0.949438921435247,0.892061608737665,0.890835562008929
0.868333333333333,0.721184392829737,0.948314330588151,0.912628208515235,0.892770812691857
0.886666666666667,0.755411991710439,0.956413514848196,0.917986089206449,0.910303101975287
0.888333333333333,0.767429175208893,0.954660621456287,0.92643244940997,0.906584110861511
0.866666666666667,0.72235373171872,0.937818921339469,0.899029856841357,0.888294043248013
0.891666666666667,0.778314968070938,0.947984944511458,0.922483600159431,0.905253550170587
0.871666666666667,0.730742795104846,0.937042082198732,0.898634881978588,0.892607653859412
0.818333333333333,0.620358133151369,0.899268471008642,0.838618852943677,0.84855161366865
0.87,0.725641577174722,0.954616016401441,0.883713398473672,0.89273764917252
0.848333333333333,0.683041967002651,0.935320460168691,0.90841739667206,0.87274280225659
0.871666666666667,0.727450488471171,0.955428286329105,0.899064017940999,0.895505484329162
0.843333333333333,0.67995645920927,0.936989456988655,0.86700132282496,0.861878032199252
0.9,0.783486302007879,0.958088556935268,0.926013366750209,0.921007589005045
0.841666666666667,0.678821171816992,0.925141712311924,0.868366195493022,0.856732296372861
0.845,0.686904516198597,0.926552552967569,0.867093930115674,0.859561987218172
0.88,0.740922126476589,0.958142369862871,0.924053088976664,0.903975969193361
0.891666666666667,0.771302974914044,0.962531213699462,0.90062862502048,0.911086646842892
0.85,0.686991507361976,0.929556743295607,0.886334572845156,0.875053010628739
0.905,0.804815197099759,0.969656776194893,0.923604225787992,0.917517582802186
0.866666666666667,0.714912564437277,0.929433842382768,0.910659801678108,0.892819622677678
0.875,0.738213785872384,0.958403752971488,0.897384894160283,0.896375215463361
0.89,0.76916979756527,0.953157008175694,0.898065851596647,0.909456213410258
0.836666666666667,0.645424049494435,0.929728673850366,0.880542203767315,0.871223572126798
0.846666666666667,0.678584886226508,0.917568447996247,0.908354290406381,0.873513076919182
0.85,0.695117477304825,0.932648794015832,0.870652246367473,0.86460468155453
0.875,0.726187097738622,0.94146106307362,0.911986995548422,0.902993383832038
0.876666666666667,0.746591600350547,0.946054991767492,0.897788003663004,0.890927610095472
0.858333333333333,0.704650796562654,0.924735490374617,0.87040496465154,0.882415838510588
0.878333333333333,0.745073071162832,0.953421577715541,0.897113339664858,0.898787635632939
0.88,0.746393184803462,0.950880744303549,0.921482736521669,0.900862235693151
0.875,0.741889759368426,0.956876001635135,0.893651641105548,0.892598366719041
0.866666666666667,0.72822875690916,0.951883909105657,0.870368650235014,0.880747974961152
0.883333333333333,0.75894912252345,0.948469171719777,0.914586174860147,0.898102317229621
0.841666666666667,0.673873296217506,0.928945229237193,0.868176377398345,0.863943048273804
